Date,Open,High,Low,Close,Adj Close,Volume
2024-03-05,16077.740234,16087.570313,15862.629883,15939.589844,15939.589844,6356800000
2024-03-06,16092.0,16128.55957,15956.660156,16031.540039,16031.540039,5511370000
2024-03-07,16147.320313,16309.019531,16096.009766,16273.379883,16273.379883,5072790000
2024-03-08,16322.099609,16449.699219,16059.5,16085.110352,16085.110352,5411790000
2024-03-11,16052.629883,16085.950195,15978.040039,16019.269531,16019.269531,4917620000
2024-03-12,16116.980469,16275.450195,15992.980469,16265.639648,16265.639648,5100330000
2024-03-13,16220.110352,16233.299805,16143.339844,16177.769531,16177.769531,4839000000
2024-03-14,16209.19043,16245.320313,16039.679688,16128.530273,16128.530273,5450980000
2024-03-15,16043.580078,16055.330078,15925.910156,15973.169922,15973.169922,8261950000
2024-03-18,16154.919922,16247.589844,16094.169922,16103.450195,16103.450195,5025040000
2024-03-19,16031.929688,16175.589844,15951.860352,16166.790039,16166.790039,4758740000
2024-03-20,16185.759766,16377.44043,16127.480469,16369.410156,16369.410156,5298380000
2024-03-21,16517.240234,16538.859375,16393.900391,16401.839844,16401.839844,5134740000
2024-03-22,16387.830078,16467.619141,16361.0,16428.820313,16428.820313,4339930000
2024-03-25,16335.299805,16441.169922,16315.719727,16384.470703,16384.470703,4636940000
2024-03-26,16446.849609,16476.380859,16312.950195,16315.700195,16315.700195,5144260000
2024-03-27,16424.759766,16431.820313,16279.169922,16399.519531,16399.519531,4768930000
2024-03-28,16377.230469,16420.919922,16347.379883,16379.459961,16379.459961,5174450000
2024-04-01,16397.050781,16490.650391,16327.889648,16396.830078,16396.830078,4798390000
2024-04-02,16199.240234,16251.410156,16137.240234,16240.450195,16240.450195,4710280000
2024-04-03,16178.799805,16340.740234,16169.30957,16277.459961,16277.459961,5151500000
2024-04-04,16418.570313,16468.039063,16046.55957,16049.080078,16049.080078,5368700000
2024-04-05,16095.400391,16326.5,16080.480469,16248.519531,16248.519531,4578130000
2024-04-08,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000
2024-04-09,16328.759766,16348.179688,16141.150391,16306.639648,16306.639648,4869190000
2024-04-10,16104.009766,16200.099609,16092.019531,16170.360352,16170.360352,5308250000
2024-04-11,16236.200195,16464.599609,16154.650391,16442.199219,16442.199219,4714750000
2024-04-12,16293.030273,16341.459961,16125.330078,16175.089844,16175.089844,4552740000
2024-04-15,16276.469727,16295.269531,15863.879883,15885.019531,15885.019531,4910550000
2024-04-16,15856.379883,15965.790039,15822.019531,15865.25,15865.25,5001860000
2024-04-17,15942.290039,15957.030273,15654.509766,15683.370117,15683.370117,4991470000
2024-04-18,15705.69043,15786.120117,15587.5,15601.5,15601.5,4932540000
2024-04-19,15547.099609,15576.700195,15222.780273,15282.009766,15282.009766,5316010000
2024-04-22,15396.129883,15539.0,15265.660156,15451.30957,15451.30957,4616730000
2024-04-23,15525.549805,15730.349609,15510.589844,15696.639648,15696.639648,4951670000
2024-04-24,15805.599609,15839.0,15634.44043,15712.75,15712.75,4735870000
2024-04-25,15375.259766,15644.509766,15343.910156,15611.759766,15611.759766,4743640000
2024-04-26,15821.339844,15981.0,15770.719727,15927.900391,15927.900391,4694400000
2024-04-29,16007.0,16021.490234,15885.889648,15983.080078,15983.080078,4972520000
2024-04-30,15920.889648,15979.360352,15655.669922,15657.820313,15657.820313,5229400000
2024-05-01,15646.089844,15926.219727,15557.639648,15605.480469,15605.480469,5277790000
2024-05-02,15758.110352,15862.790039,15604.730469,15840.959961,15840.959961,4901610000
2024-05-03,16147.480469,16204.709961,16068.339844,16156.330078,16156.330078,4887310000
2024-05-06,16208.540039,16350.080078,16197.860352,16349.25,16349.25,4460130000
2024-05-07,16358.339844,16397.390625,16303.839844,16332.55957,16332.55957,5041870000
2024-05-08,16226.070313,16341.650391,16226.070313,16302.759766,16302.759766,4530190000
2024-05-09,16323.740234,16362.790039,16241.980469,16346.259766,16346.259766,4505120000
2024-05-10,16389.019531,16437.390625,16293.519531,16340.870117,16340.870117,4402110000
2024-05-13,16400.310547,16407.050781,16334.860352,16388.240234,16388.240234,4452750000
2024-05-14,16391.160156,16526.269531,16386.429688,16511.179688,16511.179688,7270240000
2024-05-15,16601.140625,16749.740234,16544.089844,16742.390625,16742.390625,8538990000
2024-05-16,16738.109375,16797.830078,16693.449219,16698.320313,16698.320313,11932600000
2024-05-17,16708.490234,16726.410156,16613.839844,16685.970703,16685.970703,9587280000
2024-05-20,16702.019531,16823.830078,16695.689453,16794.869141,16794.869141,6861320000
2024-05-21,16736.099609,16839.019531,16719.970703,16832.619141,16832.619141,6245090000
2024-05-22,16839.019531,16855.269531,16712.089844,16801.539063,16801.539063,7277340000
2024-05-23,16996.390625,16996.390625,16678.369141,16736.029297,16736.029297,7752800000
2024-05-24,16786.789063,16947.800781,16771.580078,16920.789063,16920.789063,5836040000
2024-05-28,16988.310547,17032.660156,16917.509766,17019.880859,17019.880859,6293380000
2024-05-29,16879.349609,16989.599609,16873.970703,16920.580078,16920.580078,6652480000
2024-05-30,16878.630859,16900.460938,16690.359375,16737.080078,16737.080078,6659290000
2024-05-31,16771.900391,16789.269531,16445.539063,16735.019531,16735.019531,6674090000
2024-06-03,16865.699219,16909.890625,16646.429688,16828.669922,16828.669922,5422040000
2024-06-04,16823.880859,16891.869141,16750.390625,16857.050781,16857.050781,4917350000
2024-06-05,16974.480469,17187.919922,16955.560547,17187.900391,17187.900391,5325000000
2024-06-06,17204.869141,17235.730469,17123.589844,17173.119141,17173.119141,4960580000
2024-06-07,17124.140625,17229.310547,17090.039063,17133.130859,17133.130859,4755650000
2024-06-10,17083.449219,17213.449219,17057.339844,17192.529297,17192.529297,5207110000
2024-06-11,17160.419922,17345.050781,17107.990234,17343.550781,17343.550781,5009220000
2024-06-12,17502.150391,17725.390625,17490.640625,17608.439453,17608.439453,5560630000
2024-06-13,17715.269531,17741.800781,17566.320313,17667.560547,17667.560547,4916020000
2024-06-14,17621.179688,17693.429688,17590.800781,17688.880859,17688.880859,4973820000
2024-06-17,17697.300781,17935.990234,17636.359375,17857.019531,17857.019531,6061200000
2024-06-18,17856.759766,17890.519531,17796.880859,17862.230469,17862.230469,5796180000
2024-06-20,17913.939453,17936.789063,17650.689453,17721.589844,17721.589844,6289300000
2024-06-21,17681.009766,17787.339844,17620.570313,17689.359375,17689.359375,8589160000
