Date,Open,High,Low,Close,Adj Close,Volume
2023-11-24,35299.898438,35399.441406,35299.898438,35390.148438,35390.148438,117040000
2023-11-27,35376.441406,35410.371094,35280.570313,35333.46875,35333.46875,258340000
2023-11-28,35332.128906,35518.671875,35307.730469,35416.980469,35416.980469,256210000
2023-11-29,35436.800781,35579.128906,35405.890625,35430.421875,35430.421875,299330000
2023-11-30,35596.570313,35970.699219,35592.21875,35950.890625,35950.890625,435540000
2023-12-01,35914.449219,36264.851563,35914.449219,36245.5,36245.5,321840000
2023-12-04,36089.378906,36238.179688,36029.691406,36204.441406,36204.441406,329450000
2023-12-05,36135.648438,36164.679688,36010.851563,36124.558594,36124.558594,309250000
2023-12-06,36183.730469,36292.578125,36024.25,36054.429688,36054.429688,283240000
2023-12-07,36124.171875,36164.171875,36021.949219,36117.378906,36117.378906,287280000
2023-12-08,36084.820313,36296.199219,36061.640625,36247.871094,36247.871094,295180000
2023-12-11,36254.328125,36416.179688,36231.191406,36404.929688,36404.929688,342490000
2023-12-12,36442.101563,36596.109375,36373.21875,36577.941406,36577.941406,292770000
2023-12-13,36601.800781,37094.851563,36523.589844,37090.238281,37090.238281,354790000
2023-12-14,37115.628906,37287.5,37051.519531,37248.351563,37248.351563,455820000
2023-12-15,37194.5,37347.601563,37092.019531,37305.160156,37305.160156,788160000
2023-12-18,37330.140625,37393.449219,37284.851563,37306.019531,37306.019531,292120000
2023-12-19,37311.820313,37562.828125,37311.820313,37557.921875,37557.921875,272740000
2023-12-20,37520.128906,37641.300781,37073.039063,37082.0,37082.0,303450000
2023-12-21,37225.320313,37418.761719,37127.050781,37404.351563,37404.351563,253120000
2023-12-22,37349.269531,37534.519531,37268.878906,37385.96875,37385.96875,252970000
2023-12-26,37405.898438,37617.988281,37371.828125,37545.328125,37545.328125,212420000
2023-12-27,37518.621094,37683.699219,37488.601563,37656.519531,37656.519531,245530000
2023-12-28,37661.519531,37778.851563,37650.980469,37710.101563,37710.101563,199550000
2023-12-29,37701.628906,37759.429688,37538.800781,37689.539063,37689.539063,234570000
2024-01-02,37566.21875,37790.078125,37495.910156,37715.039063,37715.039063,350280000
2024-01-03,37629.230469,37629.230469,37401.851563,37430.191406,37430.191406,322010000
2024-01-04,37425.28125,37716.410156,37425.28125,37440.339844,37440.339844,380220000
2024-01-05,37455.460938,37623.621094,37323.820313,37466.109375,37466.109375,299480000
2024-01-08,37327.371094,37692.921875,37249.238281,37683.011719,37683.011719,362200000
2024-01-09,37523.550781,37552.378906,37373.300781,37525.160156,37525.160156,289860000
2024-01-10,37552.910156,37740.769531,37524.398438,37695.730469,37695.730469,279540000
2024-01-11,37747.140625,37801.898438,37424.28125,37711.019531,37711.019531,299540000
2024-01-12,37818.050781,37825.269531,37470.191406,37592.980469,37592.980469,279250000
2024-01-16,37493.539063,37543.179688,37201.390625,37361.121094,37361.121094,378280000
2024-01-17,37281.859375,37371.660156,37132.890625,37266.671875,37266.671875,290880000
2024-01-18,37300.808594,37522.289063,37122.949219,37468.609375,37468.609375,340620000
2024-01-19,37572.5,37933.730469,37451.710938,37863.800781,37863.800781,377650000
2024-01-22,37919.550781,38109.199219,37911.609375,38001.808594,38001.808594,339560000
2024-01-23,37959.789063,37980.730469,37804.988281,37905.449219,37905.449219,334110000
2024-01-24,37975.371094,38064.21875,37795.710938,37806.390625,37806.390625,336090000
2024-01-25,37862.570313,38057.53125,37796.46875,38049.128906,38049.128906,402970000
2024-01-26,38006.679688,38215.308594,37997.769531,38109.429688,38109.429688,387000000
